feature_1,feature_2,abs_corr
open,high,0.9997640298500876
low,close,0.9997499281232174
high,close,0.999732775362605
open,low,0.9997060496214542
high,low,0.9995846012152455
open,close,0.9994832663830908
high,adj_close,0.9873060181332163
close,adj_close,0.9870237747928898
open,adj_close,0.9865414885953597
low,adj_close,0.9862113744247598
return_std_5,ewm_vol_10,0.9326317096298022
return_std_20,ewm_vol_10,0.9309887539335688
roc_5,price_to_sma_10,0.9196787023905492
roc_10,price_to_sma_20,0.9158620269689984
