feature,rf_importance
target_next_return,0.7055285190693259
roc_20,0.04048946735331243
roc_5,0.023535680972321033
simple_return,0.023268848214106512
return_lag_2,0.019357702181965985
roc_10,0.018520606070771325
return_lag_10,0.018290042665096054
relative_strength_5,0.015625484790708716
return_lag_5,0.01420602073830757
relative_strength_20,0.01321614840687055
return_lag_1,0.01318347855982815
close,0.011467599024556544
macd_hist,0.010930869597351916
ewm_vol_10,0.010917524573369433
relative_return_1,0.010562724356809721
volume_lag_5,0.008263549012070636
return_lag_3,0.007881535757520503
volume,0.0078577370726293
volume_change_1,0.006924382452882723
rsi_14,0.006157994615761098
zscore_price_20,0.005796620227802328
relative_volume_20,0.004388959684868545
volume_lag_1,0.0036285046017630303
