fold,train_period,val_month,test_month,model,MSE,RMSE,MAE,R2,Directional_Accuracy,Sharpe
1,2022-01→2022-12,2023-01,2023-02,TCN,0.00095936784,0.030973664,0.02104167,-0.009305596351623535,0.5789473684210527,2.7112961685544184
1,2022-01→2022-12,2023-01,2023-02,LSTM,0.0010127644,0.03182396,0.022448264,-0.06548166275024414,0.5789473684210527,0.1998077980249602
1,2022-01→2022-12,2023-01,2023-02,Transformer,0.0009647562,0.031060524,0.021570398,-0.014974474906921387,0.631578947368421,1.6598971309047235
1,2022-01→2022-12,2023-01,2023-02,CNN_LSTM,0.0009853801,0.031390764,0.021676963,-0.036671996116638184,0.5263157894736842,0.17718473339315455
1,2022-01→2022-12,2023-01,2023-02,TFT,0.0009964611,0.031566773,0.02217655,-0.048329710960388184,0.42105263157894735,-2.610612331845074
2,2022-02→2023-01,2023-02,2023-03,TCN,0.00039175927,0.019792909,0.016416201,-0.07191073894500732,0.6086956521739131,4.712360841003645
2,2022-02→2023-01,2023-02,2023-03,LSTM,0.00039997482,0.01999937,0.016309535,-0.09438967704772949,0.6521739130434783,5.234416032950652
2,2022-02→2023-01,2023-02,2023-03,Transformer,0.00044625608,0.021124775,0.01734438,-0.22102200984954834,0.5652173913043478,1.994345982546668
2,2022-02→2023-01,2023-02,2023-03,CNN_LSTM,0.00043198135,0.02078416,0.017502116,-0.18196427822113037,0.6086956521739131,2.246810519178812
2,2022-02→2023-01,2023-02,2023-03,TFT,0.0004326066,0.020799197,0.017258348,-0.18367516994476318,0.391304347826087,-5.367429676548439
3,2022-03→2023-02,2023-03,2023-04,TCN,0.00031589615,0.017773468,0.012805554,-0.06447815895080566,0.5789473684210527,-1.4386391501311209
3,2022-03→2023-02,2023-03,2023-04,LSTM,0.00029642018,0.017216858,0.012745727,0.0011501908302307129,0.5789473684210527,1.4263726858989236
3,2022-03→2023-02,2023-03,2023-04,Transformer,0.00030149025,0.017363474,0.013662498,-0.015934348106384277,0.42105263157894735,1.4386391501311209
3,2022-03→2023-02,2023-03,2023-04,CNN_LSTM,0.0003606079,0.018989678,0.013102837,-0.21514368057250977,0.631578947368421,-0.3009352372818485
3,2022-03→2023-02,2023-03,2023-04,TFT,0.00029898257,0.017291112,0.012741688,-0.007484316825866699,0.42105263157894735,0.7428415539481833
4,2022-04→2023-03,2023-04,2023-05,TCN,0.00031762331,0.01782199,0.014270436,-0.1190575361251831,0.5454545454545454,4.53753013579355
4,2022-04→2023-03,2023-04,2023-05,LSTM,0.00029754458,0.01724948,0.014023513,-0.04831564426422119,0.5909090909090909,6.290794773465668
4,2022-04→2023-03,2023-04,2023-05,Transformer,0.00040117308,0.020029305,0.016126134,-0.4134218692779541,0.4090909090909091,-2.7648822326918827
4,2022-04→2023-03,2023-04,2023-05,CNN_LSTM,0.00029602653,0.01720542,0.014016367,-0.04296720027923584,0.5909090909090909,6.290794773465668
4,2022-04→2023-03,2023-04,2023-05,TFT,0.00031162452,0.01765289,0.014180816,-0.0979224443435669,0.5909090909090909,6.290794773465668
5,2022-05→2023-04,2023-05,2023-06,TCN,0.00021590057,0.014693555,0.010684265,-0.013437271118164062,0.47619047619047616,-2.972119149988411
5,2022-05→2023-04,2023-05,2023-06,LSTM,0.00022557296,0.015019086,0.010766876,-0.05883944034576416,0.5238095238095238,-1.5059637204422542
5,2022-05→2023-04,2023-05,2023-06,Transformer,0.00021733328,0.014742227,0.010509295,-0.020162343978881836,0.6190476190476191,2.407447362159102
5,2022-05→2023-04,2023-05,2023-06,CNN_LSTM,0.00022450207,0.014983393,0.010835255,-0.053812623023986816,0.5238095238095238,-1.5059637204422542
5,2022-05→2023-04,2023-05,2023-06,TFT,0.00022242688,0.014913983,0.010755491,-0.04407179355621338,0.5238095238095238,-1.5059637204422542
6,2022-06→2023-05,2023-06,2023-07,TCN,0.00042785789,0.020684727,0.015029323,-0.03807830810546875,0.6,3.7921146373851964
6,2022-06→2023-05,2023-06,2023-07,LSTM,0.00043789172,0.020925863,0.014905031,-0.06242263317108154,0.55,1.2106926394015343
6,2022-06→2023-05,2023-06,2023-07,Transformer,0.00044415644,0.02107502,0.01518981,-0.07762229442596436,0.55,1.6700749892680111
6,2022-06→2023-05,2023-06,2023-07,CNN_LSTM,0.00042408734,0.02059338,0.014624305,-0.028930187225341797,0.5,1.1336003860005366
6,2022-06→2023-05,2023-06,2023-07,TFT,0.00045094453,0.021235455,0.015461162,-0.09409165382385254,0.4,-3.7921146373851964
7,2022-07→2023-06,2023-07,2023-08,TCN,0.00018854081,0.013731017,0.011404991,-0.004616379737854004,0.5217391304347826,2.652459908226858
7,2022-07→2023-06,2023-07,2023-08,LSTM,0.00020890209,0.014453446,0.011886894,-0.11310899257659912,0.5652173913043478,1.6594457961747977
7,2022-07→2023-06,2023-07,2023-08,Transformer,0.00018188311,0.013486405,0.010405361,0.030858397483825684,0.5652173913043478,1.6594457961747977
7,2022-07→2023-06,2023-07,2023-08,CNN_LSTM,0.00022392652,0.0149641745,0.012086139,-0.19316470623016357,0.6086956521739131,4.205666168984553
7,2022-07→2023-06,2023-07,2023-08,TFT,0.00020215676,0.014218184,0.011318015,-0.07716727256774902,0.5652173913043478,1.6594457961747977
8,2022-08→2023-07,2023-08,2023-09,TCN,0.00018844103,0.013727383,0.011110736,0.005306661128997803,0.5,5.432169716849526
8,2022-08→2023-07,2023-08,2023-09,LSTM,0.00018723754,0.013683477,0.010690639,0.011659324169158936,0.55,-0.5269024275959978
8,2022-08→2023-07,2023-08,2023-09,Transformer,0.00019641295,0.0140147405,0.011001799,-0.0367734432220459,0.45,-1.565599515039809
8,2022-08→2023-07,2023-08,2023-09,CNN_LSTM,0.00019141883,0.01383542,0.010974851,-0.010411858558654785,0.55,-0.5269024275959978
8,2022-08→2023-07,2023-08,2023-09,TFT,0.00019221769,0.013864259,0.010972051,-0.01462864875793457,0.55,-0.5269024275959978
9,2022-09→2023-08,2023-09,2023-10,TCN,0.0005937375,0.024366729,0.015408614,-0.01592540740966797,0.5,-3.257254596591049
9,2022-09→2023-08,2023-09,2023-10,LSTM,0.0006375932,0.025250608,0.016179465,-0.0909653902053833,0.4090909090909091,-6.2565709219323
9,2022-09→2023-08,2023-09,2023-10,Transformer,0.0006153569,0.024806388,0.015699236,-0.05291759967803955,0.4090909090909091,-6.177944532582176
9,2022-09→2023-08,2023-09,2023-10,CNN_LSTM,0.0006115182,0.024728894,0.015607199,-0.046349287033081055,0.45454545454545453,-1.565951499357487
